[2026-07-09 20:48] consolidate | hoangminhhoaoffical: nap 40 video (viet dan y + phan loai). Phan bo: 01 Quan he-Gia dinh=2, 02 Tai chinh=3, 03 Ban hang=4, 04 Marketing-MXH=6, 05 Lanh dao-Doi nhom=8, 06 Khoi nghiep-Kinh doanh=6, 08 Tu duy-Thanh cong=2, 09 Khac=9
[2026-07-09 20:49] collect | Kho hien co 40 video
[2026-07-09 20:49] collect | Nguon @hoangminhhoaoffical : +0 video moi
[2026-07-09 20:49] collect | TONG video moi hom nay: 0 (luu o _inbox, cho buoc nap luc 23h)
[2026-07-11 16:12] collect | Kho hien co 40 video
[2026-07-11 16:12] collect | Nguon @hoangminhhoaoffical : +0 video moi
[2026-07-11 16:15] collect | Nguon @longguru : +37 video moi
[2026-07-11 16:15] collect | TONG video moi hom nay: 37 (luu o _inbox, cho buoc nap luc 23h)
[2026-07-11 21:41] consolidate | @longguru: nap 37 video (viet dan y + phan loai, 3 video la bai hat/vlog ca nhan da ghi chu rieng). Phan bo: 02 Tai chinh=3, 03 Ban hang=3, 04 Marketing-MXH=5, 06 Khoi nghiep-Kinh doanh=19, 08 Tu duy-Thanh cong=3, 09 Khac=4
[2026-07-24 19:53] collect | Kho hien co 77 video
[2026-07-24 19:54] collect | Nguon @hoangminhhoaoffical : +3 video moi
[2026-07-24 19:55] collect | Kho hien co 81 video
[2026-07-24 19:55] collect | Nguon @hoangminhhoaoffical : +0 video moi
[2026-07-24 19:56] collect | Nguon @longguru : +5 video moi
[2026-07-24 19:56] collect | Nguon @longguru : +4 video moi
[2026-07-24 20:03] collect | Nguon @HuyenNguyenDiamond : +36 video moi
[2026-07-24 20:04] collect | Nguon @HuyenNguyenDiamond : +32 video moi
[2026-07-24 20:04] collect | TONG video moi hom nay: 40 (luu o _inbox, cho buoc nap luc 23h)
[2026-07-24 20:04] collect | Kho hien co 123 video
[2026-07-24 20:04] collect | Nguon @hoangminhhoaoffical : +0 video moi
[2026-07-24 20:05] collect | Nguon @longguru : +0 video moi
[2026-07-24 20:06] collect | Nguon @HuyenNguyenDiamond : +0 video moi
[2026-07-24 20:11] collect | Nguon @ThayTranVietQuan : +35 video moi
[2026-07-24 20:11] collect | TONG video moi hom nay: 75 (luu o _inbox, cho buoc nap luc 23h)
[2026-07-24 20:13] collect | Nguon @ThayTranVietQuan : +33 video moi
[2026-07-24 20:13] collect | TONG video moi hom nay: 33 (luu o _inbox, cho buoc nap luc 23h)
[2026-07-27 20:08] consolidate | them kenh moi @ThayTranVietQuan vao sources.txt, chay COLLECT toan bo 4 kenh
[2026-07-27 20:08] consolidate | CONSOLIDATE + XUAT BAN 79 video (4 kenh) hoan tat:
[2026-07-27 20:08] consolidate | @HuyenNguyenDiamond: nap 36 video (viet dan y + phan loai, 4 video hop noi bo BNI + 2 video bai tap/dance ca nhan da ghi chu rieng). Phan bo: 01 Quan he-Gia dinh=6, 05 Lanh dao-Doi nhom=5, 06 Khoi nghiep-Kinh doanh=1, 08 Tu duy-Thanh cong=2, 09 Khac=22
[2026-07-27 20:08] consolidate | @ThayTranVietQuan (kenh moi, Tran Viet Quan): nap 35 video (viet dan y + phan loai, toan bo la noi dung tri thuc that). Phan bo: 01 Quan he-Gia dinh=5, 02 Tai chinh=1, 06 Khoi nghiep-Kinh doanh=1, 07 Cam xuc-Suc khoe=1, 09 Khac=27
[2026-07-27 20:08] consolidate | @hoangminhhoaoffical: nap them 3 video (viet dan y + phan loai). Phan bo: 06 Khoi nghiep-Kinh doanh=1, 07 Cam xuc-Suc khoe=1, 09 Khac=1. Tong kenh sau khi nap: 44 video
[2026-07-27 20:08] consolidate | @longguru: nap them 5 video (viet dan y + phan loai, 1 bai hat + 1 vlog ca nhan da ghi chu rieng). Phan bo: 06 Khoi nghiep-Kinh doanh=2, 07 Cam xuc-Suc khoe=1, 09 Khac=2. Tong kenh sau khi nap: 43 video
[2026-07-27 20:08] consolidate | XUAT BAN: da chuyen toan bo 79 file tu videos/<NN>/ sang layout phang wiki/sources/<kenh>/*.md kem category frontmatter; tao index.md moi cho HuyenNguyenDiamond + ThayTranVietQuan; cap nhat index.md cho hoangminhhoaoffical + longguru; cap nhat wiki/index.md va wiki/log.md
